year,old_name,new_name,reversed,note
2004,jd142,serial1,NA,
2004,jd143,serial2,NA,
2004,jd144,serial3,NA,
2004,jd145,serial4,NA,
2004,jd146,serial5,NA,
2006,kd142,serial1,NA,
2006,kd143,serial2,NA,
2006,kd144,serial3,NA,
2006,kd145,serial4,NA,
2006,kd146,serial5,NA,
2008,ld142,serial1,NA,
2008,ld143,serial2,NA,
2008,ld144,serial3,NA,
2008,ld145,serial4,NA,
2008,ld146,serial5,NA,
2010,md142,serial1,NA,
2010,md143,serial2,NA,
2010,md144,serial3,NA,
2010,md145,serial4,NA,
2010,md146,serial5,NA,
2012,nd142,serial1,NA,
2012,nd143,serial2,NA,
2012,nd144,serial3,NA,
2012,nd145,serial4,NA,
2012,nd146,serial5,NA,
2014,od142,serial1,NA,
2014,od143,serial2,NA,
2014,od144,serial3,NA,
2014,od145,serial4,NA,
2014,od146,serial5,NA,
