year,old_name,new_name,reversed,note
2004,jd151,msmonth,NA,NA
2004,jd152,msdate,NA,NA
2004,jd153,msyear,NA,NA
2004,jd154,msday,NA,NA
2004,jd155,msnaming1,NA,NA
2004,jd156,msnaming2,NA,NA
2004,jd157,mspresident,NA,NA
2004,jd158,msvp,NA,NA
2004,jd124,countb,NA,NA
2004,jd129,countb2,NA,NA
2006,kd151,msmonth,NA,NA
2006,kd152,msdate,NA,NA
2006,kd153,msyear,NA,NA
2006,kd154,msday,NA,NA
2006,kd155,msnaming1,NA,NA
2006,kd156,msnaming2,NA,NA
2006,kd157,mspresident,NA,NA
2006,kd158,msvp,NA,NA
2006,kd124,countb,NA,NA
2006,kd129,countb,NA,NA
2008,ld151,msmonth,NA,NA
2008,ld152,msdate,NA,NA
2008,ld153,msyear,NA,NA
2008,ld154,msday,NA,NA
2008,ld155,msnaming1,NA,NA
2008,ld156,msnaming2,NA,NA
2008,ld157,mspresident,NA,NA
2008,ld158,msvp,NA,NA
2008,ld124,countb,NA,NA
2008,ld129,countb2,NA,NA
2010,md151,msmonth,NA,NA
2010,md152,msdate,NA,NA
2010,md153,msyear,NA,NA
2010,md154,msday,NA,NA
2010,md155,msnaming1,NA,NA
2010,md156,msnaming2,NA,NA
2010,md157,mspresident,NA,NA
2010,md158,msvp,NA,NA
2010,md124,countb,NA,NA
2010,md129,countb2,NA,NA
2012,nd151,msmonth,NA,NA
2012,nd152,msdate,NA,NA
2012,nd153,msyear,NA,NA
2012,nd154,msday,NA,NA
2012,nd155,msnaming1,NA,NA
2012,nd156,msnaming2,NA,NA
2012,nd157,mspresident,NA,NA
2012,nd158,msvp,NA,NA
2012,nd124,countb,NA,NA
2012,nd129,countb2,NA,NA
2014,od151,msmonth,NA,NA
2014,od152,msdate,NA,NA
2014,od153,msyear,NA,NA
2014,od154,msday,NA,NA
2014,od155,msnaming1,NA,NA
2014,od156,msnaming2,NA,NA
2014,od157,mspresident,NA,NA
2014,od158,msvp,NA,NA
2014,od124,countb,NA,NA
2014,od129,countb2,NA,NA
