year,old_name,new_name,reversed,
2004,jlb512a,mtchild,1,
2004,jlb512b,spkchild,1,
2004,jlb512c,wrtchild,1,
2004,jlb516a,mtfam,1,
2004,jlb516b,spkfam,1,
2004,jlb516c,wrtfam,1,
2004,jlb520a,mtfriend,1,
2004,jlb520b,spkfriend,1,
2004,jlb520c,wrtfriend,1,
2006,klb009a,mtchild,1,
2006,klb009b,spkchild,1,
2006,klb009c,wrtchild,1,
2006,klb013a,mtfam,1,
2006,klb013b,spkfam,1,
2006,klb013c,wrtfam,1,
2006,klb017a,mtfriend,1,
2006,klb017b,spkfriend,1,
2006,klb017c,wrtfriend,1,
2008,llb009a,mtchild,1,
2008,llb009b,spkchild,1,
2008,llb009c,wrtchild,1,
2008,llb013a,mtfam,1,
2008,llb013b,spkfam,1,
2008,llb013c,wrtfam,1,
2008,llb017a,mtfriend,1,
2008,llb017b,spkfriend,1,
2008,llb017c,wrtfriend,1,
2010,mlb009a,mtchild,1,
2010,mlb009b,spkchild,1,
2010,mlb009c,wrtchild,1,
2010,mlb013a,mtfam,1,
2010,mlb013b,spkfam,1,
2010,mlb013c,wrtfam,1,
2010,mlb017a,mtfriend,1,
2010,mlb017b,spkfriend,1,
2010,mlb017c,wrtfriend,1,
2012,nlb009a,mtchild,1,
2012,nlb009b,spkchild,1,
2012,nlb009c,wrtchild,1,
2012,nlb013a,mtfam,1,
2012,nlb013b,spkfam,1,
2012,nlb013c,wrtfam,1,
2012,nlb017a,mtfriend,1,
2012,nlb017b,spkfriend,1,
2012,nlb017c,wrtfriend,1,
2014,olb008a,mtchild,,
2014,olb008b,spkchild,,SPEAK ON PHONE WITH CHILDREN
2014,olb008c,wrtchild,,WRITE OR EMAIL CHILDREN
2014,olb008d,smchild,,COMMUNICATE BY SOCIAL MEDIA
2014,olb012a,mtfam,,MEET UP WITH OTH FAMILY MEMBERS
2014,olb012b,spkfam,,SPEAK ON PHONE WITH OTH FAM MEM
2014,olb012c,wrtfam,,WRITE OR EMAIL OTH FAMILY MEMBERS
2014,olb012d,smfam,,COMMUNICATE BY SOCIAL MEDIA
2014,olb016a,mtfriend,,MEET UP WITH FRIENDS
2014,olb016b,spkfriend,,
2014,olb016c,wrtfriend,,
2014,olb16d,smfriend,,
