year,old_name,new_name,reversed,note
2004.0,jd151,msmonth,NA,NA
2004.0,jd152,msdate,NA,NA
2004.0,jd153,msyear,NA,NA
2004.0,jd154,msday,NA,NA
2004.0,jd155,msnaming1,NA,NA
2004.0,jd156,msnaming2,NA,NA
2004.0,jd157,mspresident,NA,NA
2004.0,jd158,msvp,NA,NA
2006.0,kd151,msmonth,NA,NA
2006.0,kd152,msdate,NA,NA
2006.0,kd153,msyear,NA,NA
2006.0,kd154,msday,NA,NA
2006.0,kd155,msnaming1,NA,NA
2006.0,kd156,msnaming2,NA,NA
2006.0,kd157,mspresident,NA,NA
2006.0,kd158,msvp,NA,NA
2008.0,ld151,msmonth,NA,NA
2008.0,ld152,msdate,NA,NA
2008.0,ld153,msyear,NA,NA
2008.0,ld154,msday,NA,NA
2008.0,ld155,msnaming1,NA,NA
2008.0,ld156,msnaming2,NA,NA
2008.0,ld157,mspresident,NA,NA
2008.0,ld158,msvp,NA,NA
2010.0,md151,msmonth,NA,NA
2010.0,md152,msdate,NA,NA
2010.0,md153,msyear,NA,NA
2010.0,md154,msday,NA,NA
2010.0,md155,msnaming1,NA,NA
2010.0,md156,msnaming2,NA,NA
2010.0,md157,mspresident,NA,NA
2010.0,md158,msvp,NA,NA
2012.0,nd151,msmonth,NA,NA
2012.0,nd152,msdate,NA,NA
2012.0,nd153,msyear,NA,NA
2012.0,nd154,msday,NA,NA
2012.0,nd155,msnaming1,NA,NA
2012.0,nd156,msnaming2,NA,NA
2012.0,nd157,mspresident,NA,NA
2012.0,nd158,msvp,NA,NA
2014.0,od151,msmonth,NA,NA
2014.0,od152,msdate,NA,NA
2014.0,od153,msyear,NA,NA
2014.0,od154,msday,NA,NA
2014.0,od155,msnaming1,NA,NA
2014.0,od156,msnaming2,NA,NA
2014.0,od157,mspresident,NA,NA
2014.0,od158,msvp,NA,NA
