year,old_name,new_name,reversed,note,
2004,jlb508a,ssup1sp,1,NA,
2004,jlb508b,ssup2sp,1,NA,
2004,jlb508c,ssup3sp,1,NA,
2004,jlb508d,ssup5sp,1,NA,
2004,jlb508e,ssup6sp,1,NA,
2004,jlb508f,ssup7sp,1,NA,
2004,jlb511a,ssup1ch,1,NA,
2004,jlb511b,ssup2ch,1,NA,
2004,jlb511c,ssup3ch,1,NA,
2004,jlb511d,ssup5ch,1,NA,
2004,jlb511e,ssup6ch,1,NA,
2004,jlb511f,ssup7ch,1,NA,
2004,jlb515a,ssup1fam,1,NA,
2004,jlb515b,ssup2fam,1,NA,
2004,jlb515c,ssup3fam,1,NA,
2004,jlb515d,ssup5fam,1,NA,
2004,jlb515e,ssup6fam,1,NA,
2004,jlb515f,ssup7fam,1,NA,
2004,jlb519a,ssup1fr,1,NA,
2004,jlb519b,ssup2fr,1,NA,
2004,jlb519c,ssup3fr,1,NA,
2004,jlb519d,ssup5fr,1,NA,
2004,jlb519e,ssup6fr,1,NA,
2004,jlb519f,ssup7fr,1,NA,
2006,klb005a,ssup1sp,1,NA,
2006,klb005b,ssup2sp,1,NA,
2006,klb005c,ssup3sp,1,NA,
2006,klb005d,ssup4sp,1,NA,
2006,klb005e,ssup5sp,1,NA,
2006,klb005f,ssup6sp,1,NA,
2006,klb005g,ssup7sp,1,NA,
2006,klb008a,ssup1ch,1,NA,
2006,klb008b,ssup2ch,1,NA,
2006,klb008c,ssup3ch,1,NA,
2006,klb008d,ssup4ch,1,NA,
2006,klb008e,ssup5ch,1,NA,
2006,klb008f,ssup6ch,1,NA,
2006,klb008g,ssup7ch,1,NA,
2006,klb012a,ssup1fam,1,NA,
2006,klb012b,ssup2fam,1,NA,
2006,klb012c,ssup3fam,1,NA,
2006,klb012d,ssup4fam,1,NA,
2006,klb012e,ssup5fam,1,NA,
2006,klb012f,ssup6fam,1,NA,
2006,klb012g,ssup7fam,1,NA,
2006,klb016a,ssup1fr,1,NA,
2006,klb016b,ssup2fr,1,NA,
2006,klb016c,ssup3fr,1,NA,
2006,klb016d,ssup4fr,1,NA,
2006,klb016e,ssup5fr,1,NA,
2006,klb016f,ssup6fr,1,NA,
2006,klb016g,ssup7fr,1,NA,
2008,llb005a,ssup1sp,1,NA,
2008,llb005b,ssup2sp,1,NA,
2008,llb005c,ssup3sp,1,NA,
2008,llb005d,ssup4sp,1,NA,
2008,llb005e,ssup5sp,1,NA,
2008,llb005f,ssup6sp,1,NA,
2008,llb005g,ssup7sp,1,NA,
2008,llb008a,ssup1ch,1,NA,
2008,llb008b,ssup2ch,1,NA,
2008,llb008c,ssup3ch,1,NA,
2008,llb008d,ssup4ch,1,NA,
2008,llb008e,ssup5ch,1,NA,
2008,llb008f,ssup6ch,1,NA,
2008,llb008g,ssup7ch,1,NA,
2008,llb012a,ssup1fam,1,NA,
2008,llb012b,ssup2fam,1,NA,
2008,llb012c,ssup3fam,1,NA,
2008,llb012d,ssup4fam,1,NA,
2008,llb012e,ssup5fam,1,NA,
2008,llb012f,ssup6fam,1,NA,
2008,llb012g,ssup7fam,1,NA,
2008,llb016a,ssup1fr,1,NA,
2008,llb016b,ssup2fr,1,NA,
2008,llb016c,ssup3fr,1,NA,
2008,llb016d,ssup4fr,1,NA,
2008,llb016e,ssup5fr,1,NA,
2008,llb016f,ssup6fr,1,NA,
2008,llb016g,ssup7fr,1,NA,
2010,mlb005a,ssup1sp,1,NA,
2010,mlb005b,ssup2sp,1,NA,
2010,mlb005c,ssup3sp,1,NA,
2010,mlb005d,ssup4sp,1,NA,
2010,mlb005e,ssup5sp,1,NA,
2010,mlb005f,ssup6sp,1,NA,
