year,old_name,new_name,reversed,note
2004,jlb530a,healthprob,,
2004,jlb530b,physicalprob,,
2004,jlb530c,alcoholprob,,
2004,jlb530d,workprob,,
2004,jlb530e,financialprob,,
2004,jlb530f,houseprob,,
2004,jlb530g,relationshipprob,,
2004,jlb530h,sickfam,,
2006,klb040a,healthprob,,
2006,klb040b,physicalprob,,
2006,klb040c,alcoholprob,,
2006,klb040d,workprob,,
2006,klb040e,financialprob,,
2006,klb040f,houseprob,,
2006,klb040g,relationshipprob,,
2006,klb040h,sickfam,,
2010,mlb040a_a,healthprob,,
2010,mlb040a_b,physicalprob,,
2010,mlb040a_c,alcoholprob,,
2010,mlb040a_d,workprob,,
2010,mlb040a_e,financialprob,,
2010,mlb040a_f,houseprob,,
2010,mlb040a_g,relationshipprob,,
2010,mlb040a_h,sickfam,,
2012,nlb040a_a,healthprob,,
2012,nlb040a_b,physicalprob,,
2012,nlb040a_c,alcoholprob,,
2012,nlb040a_d,workprob,,
2012,nlb040a_e,financialprob,,
2012,nlb040a_f,houseprob,,
2012,nlb040a_g,relationshipprob,,
2012,nlb040a_h,sickfam,,
2014,olb035a_1,healthprob,,
2014,olb035a_2,physicalprob,,
2014,olb035a_3,alcoholprob,,
2014,olb035a_4,workprob,,
2014,olb035a_5,financialprob,,
2014,olb035a_6,houseprob,,
2014,olb035a_7,relationshipprob,,
2014,olb035a_8,sickfam,,
