year,old_name,new_name,reversed,note
2004.0,jd159,voclist,NA,NA
2004.0,jd161,vocab1,NA,NA
2004.0,jd163,vocab2,NA,NA
2004.0,jd165,vocab3,NA,NA
2004.0,jd167,vocab4,NA,NA
2004.0,jd169,vocab5,NA,NA
2006.0,kd159,voclist,NA,NA
2006.0,kd161,vocab1,NA,NA
2006.0,kd163,vocab2,NA,NA
2006.0,kd165,vocab3,NA,NA
2006.0,kd167,vocab4,NA,NA
2006.0,kd169,vocab5,NA,NA
2008.0,ld159,voclist,NA,NA
2008.0,ld161,vocab1,NA,NA
2008.0,ld163,vocab2,NA,NA
2008.0,ld165,vocab3,NA,NA
2008.0,ld167,vocab4,NA,NA
2008.0,ld169,vocab5,NA,NA
2010.0,md159,voclist,NA,NA
2010.0,md161,vocab1,NA,NA
2010.0,md163,vocab2,NA,NA
2010.0,md165,vocab3,NA,NA
2010.0,md167,vocab4,NA,NA
2010.0,md169,vocab5,NA,NA
2012.0,nd159,voclist,NA,NA
2012.0,nd161,vocab1,NA,NA
2012.0,nd163,vocab2,NA,NA
2012.0,nd165,vocab3,NA,NA
2012.0,nd167,vocab4,NA,NA
2012.0,nd169,vocab5,NA,NA
2014.0,od159,voclist,NA,NA
2014.0,od161,vocab1,NA,NA
2014.0,od163,vocab2,NA,NA
2014.0,od165,vocab3,NA,NA
2014.0,od167,vocab4,NA,NA
2014.0,od169,vocab5,NA,NA
