year,old_name,new_name,reversed,note
2004.0,jlb504a,loneliness_1,1.0,NA
2004.0,jlb504b,loneliness_2,1.0,NA
2004.0,jlb504c,loneliness_3,1.0,NA
2004.0,jlb504d,loneliness_4,NA,NA
2006.0,klb020a,loneliness_1,1.0,NA
2006.0,klb020b,loneliness_2,1.0,NA
2006.0,klb020c,loneliness_3,1.0,NA
2008.0,llb020a,loneliness_1,1.0,NA
2008.0,llb020b,loneliness_2,1.0,NA
2008.0,llb020c,loneliness_3,1.0,NA
2008.0,llb020d,loneliness_4,NA,NA
2008.0,llb020e,loneliness_5,1.0,NA
2008.0,llb020f,loneliness_6,NA,NA
2008.0,llb020g,loneliness_7,NA,NA
2008.0,llb020h,loneliness_8,NA,NA
2008.0,llb020i,loneliness_9,NA,NA
2008.0,llb020j,loneliness_10,NA,NA
2008.0,llb020k,loneliness_11,NA,NA
2010.0,mlb020a,loneliness_1,1.0,NA
2010.0,mlb020b,loneliness_2,1.0,NA
2010.0,mlb020c,loneliness_3,1.0,NA
2010.0,mlb020d,loneliness_4,NA,NA
2010.0,mlb020e,loneliness_5,1.0,NA
2010.0,mlb020f,loneliness_6,NA,NA
2010.0,mlb020g,loneliness_7,NA,NA
2010.0,mlb020h,loneliness_8,NA,NA
2010.0,mlb020i,loneliness_9,NA,NA
2010.0,mlb020j,loneliness_10,NA,NA
2010.0,mlb020k,loneliness_11,NA,NA
2012.0,nlb020a,loneliness_1,1.0,NA
2012.0,nlb020b,loneliness_2,1.0,NA
2012.0,nlb020c,loneliness_3,1.0,NA
2012.0,nlb020d,loneliness_4,NA,NA
2012.0,nlb020e,loneliness_5,1.0,NA
2012.0,nlb020f,loneliness_6,NA,NA
2012.0,nlb020g,loneliness_7,NA,NA
2012.0,nlb020h,loneliness_8,NA,NA
2012.0,nlb020i,loneliness_9,NA,NA
2012.0,nlb020j,loneliness_10,NA,NA
2012.0,nlb020k,loneliness_11,NA,NA
NA,NA,NA,NA,NA
